date;currency;digital_code;letter_code;rate
1974-08-01;Австралийский доллар;036;AUD;1.11
1974-08-01;Болгарский лев;975;BGN;0.7692
1974-08-01;Венгерский форинт;348;HUF;0.0767
1974-08-01;Датская крона;208;DKK;0.126
1974-08-01;Доллар США;840;USD;0.7461
1974-08-01;Индийская рупия;356;INR;0.0955
1974-08-01;Канадский доллар;124;CAD;0.768
1974-08-01;Китайский юань;156;CNY;0.45
1974-08-01;Марка ГДР;;;0.405
1974-08-01;Марка ФРГ;;;0.294
1974-08-01;Монгольский тугрик;;;0.225
1974-08-01;Новозеландский доллар;;;1.14
1974-08-01;Норвежская крона;578;NOK;0.1383
1974-08-01;Польский злотый;985;PLN;0.225
1974-08-01;Сингапурский доллар;702;SGD;0.31
1974-08-01;Турецкая лира;949;TRY;0.0533
1974-08-01;Французский франк;250;FRF;0.1565
1974-08-01;Фунт стерлингов Соединенного королевства;826;GBP;1.78
1974-08-01;Чехословацкая крона;;;0.125
1974-08-01;Шведская крона;752;SEK;0.1706
1974-08-01;Швейцарский франк;756;CHF;0.2525
1974-08-01;Югославский динар;;;0.0439
1974-08-01;Японская иена;392;JPY;0.00255
1974-09-01;Австралийский доллар;036;AUD;1.11
1974-09-01;Болгарский лев;975;BGN;0.7692
1974-09-01;Венгерский форинт;348;HUF;0.0767
1974-09-01;Датская крона;208;DKK;0.1245
1974-09-01;Доллар США;840;USD;0.7573
1974-09-01;Индийская рупия;356;INR;0.0947
1974-09-01;Канадский доллар;124;CAD;0.7717
1974-09-01;Китайский юань;156;CNY;0.45
1974-09-01;Марка ГДР;;;0.405
1974-09-01;Марка ФРГ;;;0.2879
1974-09-01;Монгольский тугрик;;;0.225
1974-09-01;Новозеландский доллар;;;1.14
1974-09-01;Норвежская крона;578;NOK;0.1373
1974-09-01;Польский злотый;985;PLN;0.225
1974-09-01;Сингапурский доллар;702;SGD;0.31
1974-09-01;Турецкая лира;949;TRY;0.0533
1974-09-01;Французский франк;250;FRF;0.1565
1974-09-01;Фунт стерлингов Соединенного королевства;826;GBP;1.72
1974-09-01;Чехословацкая крона;;;0.125
1974-09-01;Шведская крона;752;SEK;0.1706
1974-09-01;Швейцарский франк;756;CHF;0.2525
1974-09-01;Югославский динар;;;0.0439
1974-09-01;Японская иена;392;JPY;0.0025
1974-10-01;Австралийский доллар;036;AUD;0.98
1974-10-01;Болгарский лев;975;BGN;0.7692
1974-10-01;Венгерский форинт;348;HUF;0.0767
1974-10-01;Датская крона;208;DKK;0.1227
1974-10-01;Доллар США;840;USD;0.7573
1974-10-01;Индийская рупия;356;INR;0.0947
1974-10-01;Канадский доллар;124;CAD;0.77
1974-10-01;Китайский юань;156;CNY;0.45
1974-10-01;Марка ГДР;;;0.405
1974-10-01;Марка ФРГ;;;0.2856
1974-10-01;Монгольский тугрик;;;0.225
1974-10-01;Новозеландский доллар;;;0.97
1974-10-01;Норвежская крона;578;NOK;0.1369
1974-10-01;Польский злотый;985;PLN;0.225
1974-10-01;Сингапурский доллар;702;SGD;0.31
1974-10-01;Турецкая лира;949;TRY;0.0533
1974-10-01;Французский франк;250;FRF;0.1583
1974-10-01;Фунт стерлингов Соединенного королевства;826;GBP;1.72
1974-10-01;Чехословацкая крона;;;0.125
1974-10-01;Шведская крона;752;SEK;0.1698
1974-10-01;Швейцарский франк;756;CHF;0.254
1974-10-01;Югославский динар;;;0.0439
1974-10-01;Японская иена;392;JPY;0.00256
1974-11-01;Австралийский доллар;036;AUD;0.98
1974-11-01;Болгарский лев;975;BGN;0.7692
1974-11-01;Венгерский форинт;348;HUF;0.0767
1974-11-01;Датская крона;208;DKK;0.1261
1974-11-01;Доллар США;840;USD;0.755
1974-11-01;Индийская рупия;356;INR;0.0944
1974-11-01;Канадский доллар;124;CAD;0.7677
1974-11-01;Китайский юань;156;CNY;0.45
1974-11-01;Марка ГДР;;;0.405
1974-11-01;Марка ФРГ;;;0.2915
1974-11-01;Монгольский тугрик;;;0.225
1974-11-01;Новозеландский доллар;;;0.97
1974-11-01;Норвежская крона;578;NOK;0.1372
1974-11-01;Польский злотый;985;PLN;0.225
1974-11-01;Сингапурский доллар;702;SGD;0.31
1974-11-01;Турецкая лира;949;TRY;0.0533
1974-11-01;Французский франк;250;FRF;0.1605
1974-11-01;Фунт стерлингов Соединенного королевства;826;GBP;1.72
1974-11-01;Чехословацкая крона;;;0.125
1974-11-01;Шведская крона;752;SEK;0.1727
1974-11-01;Швейцарский франк;756;CHF;0.262
1974-11-01;Югославский динар;;;0.0439
1974-11-01;Японская иена;392;JPY;0.00252
1974-12-01;Австралийский доллар;036;AUD;0.98
1974-12-01;Болгарский лев;975;BGN;0.7692
1974-12-01;Венгерский форинт;348;HUF;0.0767
1974-12-01;Датская крона;208;DKK;0.1285
1974-12-01;Доллар США;840;USD;0.745
1974-12-01;Индийская рупия;356;INR;0.0927
1974-12-01;Канадский доллар;124;CAD;0.7545
1974-12-01;Китайский юань;156;CNY;0.45
1974-12-01;Марка ГДР;;;0.405
1974-12-01;Марка ФРГ;;;0.3033
1974-12-01;Монгольский тугрик;;;0.225
1974-12-01;Новозеландский доллар;;;0.97
1974-12-01;Норвежская крона;578;NOK;0.1393
1974-12-01;Польский злотый;985;PLN;0.225
1974-12-01;Сингапурский доллар;702;SGD;0.31
1974-12-01;Турецкая лира;949;TRY;0.0533
1974-12-01;Французский франк;250;FRF;0.1605
1974-12-01;Фунт стерлингов Соединенного королевства;826;GBP;1.66
1974-12-01;Чехословацкая крона;;;0.125
1974-12-01;Шведская крона;752;SEK;0.1746
1974-12-01;Швейцарский франк;756;CHF;0.2788
1974-12-01;Югославский динар;;;0.0439
1974-12-01;Японская иена;392;JPY;0.00248
1974-12-18;Доллар США;840;USD;0.73
1974-12-18;Французский франк;250;FRF;0.1611
1974-12-18;Швейцарский франк;756;CHF;0.2802
1975-01-01;Австралийский доллар;036;AUD;0.98
1975-01-01;Болгарский лев;975;BGN;0.7692
1975-01-01;Венгерский форинт;348;HUF;0.0767
1975-01-01;Датская крона;208;DKK;0.1262
1975-01-01;Доллар США;840;USD;0.73
1975-01-01;Индийская рупия;356;INR;0.0909
1975-01-01;Канадский доллар;124;CAD;0.7383
1975-01-01;Китайский юань;156;CNY;0.45
1975-01-01;Марка ГДР;;;0.405
1975-01-01;Марка ФРГ;;;0.2989
1975-01-01;Монгольский тугрик;;;0.225
1975-01-01;Новозеландский доллар;;;0.97
1975-01-01;Норвежская крона;578;NOK;0.1379
1975-01-01;Польский злотый;985;PLN;0.225
1975-01-01;Сингапурский доллар;702;SGD;0.31
1975-01-01;Турецкая лира;949;TRY;0.0533
1975-01-01;Французский франк;250;FRF;0.1633
1975-01-01;Фунт стерлингов Соединенного королевства;826;GBP;1.66
1975-01-01;Чехословацкая крона;;;0.125
1975-01-01;Шведская крона;752;SEK;0.1758
1975-01-01;Швейцарский франк;756;CHF;0.2849
1975-01-01;Югославский динар;;;0.0439
1975-01-01;Японская иена;392;JPY;0.00243
1975-02-01;Австралийский доллар;036;AUD;0.98
1975-02-01;Болгарский лев;975;BGN;0.7692
1975-02-01;Венгерский форинт;348;HUF;0.0767
1975-02-01;Датская крона;208;DKK;0.127
1975-02-01;Доллар США;840;USD;0.705
1975-02-01;Индийская рупия;356;INR;0.0888
1975-02-01;Канадский доллар;124;CAD;0.7081
1975-02-01;Китайский юань;156;CNY;0.45
1975-02-01;Марка ГДР;;;0.405
1975-02-01;Марка ФРГ;;;0.303
1975-02-01;Монгольский тугрик;;;0.225
1975-02-01;Новозеландский доллар;;;0.97
1975-02-01;Норвежская крона;578;NOK;0.1408
1975-02-01;Польский злотый;985;PLN;0.225
1975-02-01;Сингапурский доллар;702;SGD;0.31
1975-02-01;Турецкая лира;949;TRY;0.0533
1975-02-01;Французский франк;250;FRF;0.1648
1975-02-01;Фунт стерлингов Соединенного королевства;826;GBP;1.6
1975-02-01;Чехословацкая крона;;;0.125
1975-02-01;Шведская крона;752;SEK;0.1764
1975-02-01;Швейцарский франк;756;CHF;0.286
1975-02-01;Югославский динар;;;0.0439
1975-02-01;Японская иена;392;JPY;0.00243
1975-03-01;Австралийский доллар;036;AUD;0.98
1975-03-01;Болгарский лев;975;BGN;0.7692
1975-03-01;Венгерский форинт;348;HUF;0.0767
1975-03-01;Датская крона;208;DKK;0.127
1975-03-01;Доллар США;840;USD;0.7
1975-03-01;Индийская рупия;356;INR;0.0866
1975-03-01;Канадский доллар;124;CAD;0.701
1975-03-01;Китайский юань;156;CNY;0.45
1975-03-01;Марка ГДР;;;0.405
1975-03-01;Марка ФРГ;;;0.306
1975-03-01;Монгольский тугрик;;;0.225
1975-03-01;Новозеландский доллар;;;0.97
1975-03-01;Норвежская крона;578;NOK;0.1408
1975-03-01;Польский злотый;985;PLN;0.225
1975-03-01;Сингапурский доллар;702;SGD;0.31
1975-03-01;Турецкая лира;949;TRY;0.045
1975-03-01;Французский франк;250;FRF;0.1657
1975-03-01;Фунт стерлингов Соединенного королевства;826;GBP;1.62
1975-03-01;Чехословацкая крона;;;0.125
1975-03-01;Шведская крона;752;SEK;0.1775
1975-03-01;Швейцарский франк;756;CHF;0.286
1975-03-01;Югославский динар;;;0.0439
1975-03-01;Японская иена;392;JPY;0.00245
1975-04-01;Австралийский доллар;036;AUD;0.98
1975-04-01;Болгарский лев;975;BGN;0.7692
1975-04-01;Венгерский форинт;348;HUF;0.0767
1975-04-01;Датская крона;208;DKK;0.127
1975-04-01;Доллар США;840;USD;0.7
1975-04-01;Индийская рупия;356;INR;0.0866
1975-04-01;Канадский доллар;124;CAD;0.701
1975-04-01;Китайский юань;156;CNY;0.45
1975-04-01;Марка ГДР;;;0.405
1975-04-01;Марка ФРГ;;;0.302
1975-04-01;Монгольский тугрик;;;0.225
1975-04-01;Новозеландский доллар;;;0.97
1975-04-01;Норвежская крона;578;NOK;0.1408
1975-04-01;Польский злотый;985;PLN;0.225
1975-04-01;Сингапурский доллар;702;SGD;0.31
